,word,count
7775,bias,91
5004,year,91
839,without,91
2044,true,90
4615,ease,90
7622,probabilities,90
3826,use,90
1450,rather,89
12823,following,89
1525,important,89
2469,must,88
4086,money,88
6964,anchoring,87
3686,simple,87
11361,university,87
9010,gains,86
3703,problems,86
7491,higher,86
12879,subjective,86
7964,difficult,85
10748,subjects,85
4804,illusion,84
665,come,83
4824,among,83
7430,makes,83
13308,prospect,83
4894,rational,82
6973,100,82
9139,availability,82
5502,kahneman,82
1388,sense,81
12046,book,81
10762,particular,81
11346,feel,81
11474,every,81
2098,similar,81
8704,statistical,80
6187,wellbeing,79
3705,york,79
9630,regression,79
6820,general,79
6324,always,79
13788,base,78
13791,difference,78
14068,described,78
8371,prediction,78
2825,although,77
5559,rate,77
12717,self,77
1935,psychological,77
8388,read,77
2617,individuals,77
7765,knew,76
14130,nothing,76
1914,pay,76
3051,economic,76
9366,told,76
6622,quickly,76
10015,pain,76
12468,human,75
6518,sometimes,75
6345,biases,75
8569,word,74
10590,least,74
13140,4,74
6095,statistics,74
2123,thought,74
9518,studies,74
8405,daniel,73
10620,performance,73
1573,given,73
4440,amount,73
11940,imagine,72
12976,framing,72
13445,get,72
5425,need,71
4543,figure,71
1667,three,71
7979,used,70
10865,preferences,70
13609,million,70
13440,causal,70
9618,lose,70
8729,never,70
1514,economics,70
7136,intuitions,70
7064,experiments,69
8508,role,69
3203,low,69
11229,size,69
11696,confidence,68
7441,regret,68
12092,single,68
2077,state,68
73,happiness,68
5450,comes,67
10106,wrong,67
12839,expect,67
13853,experts,67
824,larger,67
9831,significant,67
13085,actually,67
10110,description,67
485,values,66
4887,stock,66
12938,person,66
8123,pattern,66
2124,common,66
253,including,65
4477,accept,65
5729,gain,65
8171,states,65
12116,end,64
2581,w,64
11157,law,64
1014,gambles,64
5463,associative,64
7626,correlation,64
10302,success,64
2844,willing,64
6090,control,63
510,situation,62
11862,current,62
541,errors,62
3221,say,62
6834,change,62
1030,estimate,61
3850,terms,61
2350,option,61
7749,still,61
11794,things,61
5968,ideas,61
10213,heuristics,61
3869,observed,61
5746,shown,61
12680,test,61
3350,fallacy,61
11360,learned,60
4333,preference,60
2917,score,60
9503,brain,60
241,therefore,60
1345,response,60
13059,choose,60
7989,financial,60
5398,instances,60
10405,review,60
1313,skill,60
5268,easy,60
6351,face,59
5972,called,59
7388,help,59
11597,later,59
20,weight,59
3791,saw,59
5489,neglect,59
8215,half,59
13094,risks,59
3174,go,58
3267,3,58
4984,either,58
9890,rule,58
5029,situations,58
4288,beliefs,58
11467,sample,58
8641,model,57
425,quality,57
3264,ability,57
8690,poor,57
7281,procedure,57
55,easier,56
1997,thing,56
11446,random,56
6825,extreme,56
7116,firm,56
12758,might,55
11824,quite,55
5340,analysis,55
7480,linda,55
8073,right,55
2429,tversky,55
6464,rates,55
13827,list,55
11544,came,54
11267,failure,54
13749,last,54
12330,appear,54
13432,avoid,54
13622,public,54
6546,relevant,54
2880,far,54
2752,immediately,54
8533,causes,54
9519,psychologists,54
7328,correct,53
5129,respondents,53
14103,frequency,53
12312,options,53
9528,mood,53
4041,evaluate,53
3952,version,53
6441,hand,53
2694,reported,53
7953,indeed,52
6163,cause,52
6397,reason,52
12445,certainly,52
9628,school,52
11610,winning,51
3398,costs,51
7570,showed,51
9118,able,51
8397,representativeness,51
4767,mean,51
2572,business,51
9450,normal,51
5985,tom,51
6717,lives,51
609,recognize,51
3503,richard,50
10130,happy,50
13979,intensity,50
8618,r,50
491,e,50
3936,standard,50
12655,paul,50
13806,earlier,50
12707,generally,50
2826,easily,50
895,market,49
4239,appears,49
8751,approach,49
3101,car,49
10670,conclusion,49
11966,20,49
9721,early,49
11748,team,48
4372,90,48
12486,times,48
2648,impressions,48
10398,economists,48
3230,strong,48
13802,focus,48
13732,ways,48
1050,american,48
13538,feelings,48
6670,expert,48
4091,factors,48
2268,student,48
1895,satisfaction,47
5023,context,47
4542,associated,47
427,possibility,47
5739,contrast,47
5470,affect,47
11458,c,47
4022,explain,47
6426,function,47
1954,form,47
1632,children,47
6381,past,47
1652,relative,47
663,available,47
572,j,46
1327,weights,46
6463,automatic,46
11988,together,46
11980,specific,46
1963,personality,46
4836,coherence,46
2458,slovic,46
9596,alternative,46
12061,consequences,45
12553,et,45
32,shows,45
3454,policy,45
6950,equally,45
6232,logic,45
4801,al,45
5875,sequence,45
1795,great,45
325,result,45
13885,tasks,45
1938,days,45
8653,article,45
2532,predict,45
2442,recent,45
4231,optimistic,44
12032,rationality,44
8045,clear,44
11920,anchor,44
10281,known,44
10314,pleasure,44
10296,account,44
12712,stories,44
8225,someone,44
1521,thaler,44
5289,12,43
14083,income,43
13919,rules,43
9950,successful,43
1311,knowledge,43
12392,provide,43
12702,experimental,43
13670,red,43
9558,give,43
3441,remembering,43
6726,considered,43
11004,duration,43
13301,psychologist,43
6565,highly,43
4383,surprising,43
4861,language,43
694,company,43
7943,odds,42
11443,validity,42
13362,short,42
10851,perhaps,42
3417,assess,42
5884,explanation,42
1572,8,42
1085,judged,42
10652,buy,42
8232,completely,42
7310,learn,42
900,seen,42
2841,unlikely,42
1892,press,42
14092,cost,42
1188,working,42
8122,examples,42
11545,position,42
1374,automatically,42
10520,based,42
4562,process,41
2184,50,41
945,look,41
4550,assessment,41
2016,positive,41
10770,certainty,41
11096,ticket,41
11637,speaking,41
8585,answers,41
12854,call,41
7505,obvious,41
10969,moment,41
982,coherent,41
11459,joint,40
527,left,40
7043,influence,40
3520,presented,40
1975,basic,40
636,finding,40
5491,going,40
9493,want,40
5987,humans,40
5208,disease,40
5042,impression,40
7530,substitution,40
13157,differences,40
993,statement,40
11258,15,40
11260,understand,40
13695,something,40
3179,within,40
11926,equal,40
14040,experiences,39
10968,usually,39
5128,spend,39
10591,thoughts,39
10220,furthermore,39
5141,uncertainty,39
9307,health,39
5437,normally,39
2281,rare,39
6172,minutes,39
11412,describe,39
2203,survey,39
4764,actions,39
3619,familiar,39
3680,produce,39
9291,bank,39
7220,said,39
7756,luck,39
4758,6,39
7016,l,38
11046,7,38
12639,level,38
11694,main,38
1647,patients,38
2757,seeking,38
9782,child,38
11342,samples,38
3255,interpretation,38
8376,total,38
3683,bet,38
7392,principle,38
14216,project,38
13704,united,38
11619,lower,38
2643,smaller,38
6201,accuracy,38
1245,1000,37
7644,accurate,37
7334,increase,37
12018,illusions,37
8817,risky,37
2700,understanding,37
8120,show,37
9237,planning,37
8084,political,37
12247,surprised,37
4294,sell,37
10537,offered,37
13525,30,37
5681,25,37
12203,complex,37
10164,“a,37
3521,emotions,37
1421,longer,37
10352,graduate,37
2912,scale,37
9731,become,37
13637,immediate,37
6602,intelligence,36
12579,real,36
13328,requires,36
13790,store,36
3021,sychological,36
4180,patient,36
4559,data,36
10290,prices,36
2535,especially,36
9672,identical,36
5664,deal,36
6956,hope,36
4369,provides,36
3337,physical,36
1082,behavioral,36
11548,endowment,36
3984,conducted,36
12170,one’s,36
2562,spent,36
2176,remember,35
10420,original,35
3191,suggests,35
4234,actual,35
5616,sentence,35
9816,surprise,35
3202,try,35
7459,professional,35
11023,emotion,35
1765,forecasts,35
14042,tend,35
4094,power,35
11301,became,35
4607,changes,35
4002,insurance,35
10227,reaction,35
12171,reasonable,35
10344,systems,35
8882,age,34
8437,prone,34
11875,numbers,34
1839,image,34
9510,side,34
14212,reading,34
567,women,34
13677,surely,34
6765,error,34
11171,frame,34
2536,wish,34
6672,whose,34
3819,search,34
5271,final,34
5632,class,34
13351,already,34
14209,natural,34
6106,worse,34
10800,episode,34
404,news,34
7736,happened,34
351,sets,34
1779,prospects,34
8011,needed,34
1257,reasoning,34
5046,estimates,34
13953,facts,33
10416,guess,33
4699,compelling,33
14069,taking,33
352,priming,33
1127,city,33
11230,old,33
9375,determined,33
4425,measure,33
9822,involved,33
2867,happens,33
5999,move,33
12521,using,33
3734,initial,33
13463,2008,33
5513,caused,33
5274,groups,33
2150,feature,33
7525,drawn,33
3377,increases,32
4336,experiencing,32
13019,reduce,32
7121,points,32
5455,9,32
59,plausible,32
6843,optimism,32
4435,marbles,32
4926,away,32
46,turn,32
12630,benefits,32
8160,cash,32
2691,lost,32
9741,measures,32
126,colleagues,32
3939,p,32
616,environment,32
310,identify,32
11490,death,32
8182,method,32
12168,assessments,31
7128,opportunity,31
3169,preferred,31
12082,losing,31
2371,toward,31
7533,observations,31
796,greater,31
13859,history,31
1888,accounts,31
5152,outside,31
7725,four,31
7252,people’s,31
1108,forecast,31
1293,powerful,31
14022,eventually,31
3846,around,31
5598,hypothesis,31
9160,learning,31
6053,six,31
4493,hard,31
13176,due,31
2148,halo,31
8933,paper,31
13507,“i,31
10635,useful,31
2162,prize,31
5492,included,30
12491,heard,30
1174,conclusions,30
7992,practice,30
2786,researchers,30
12349,soon,30
7031,mistake,30
11252,population,30
1989,belief,30
6897,changed,30
999,attractive,30
3563,top,30
3405,took,30
1794,ed,30
4516,major,30
1847,solution,30
1854,active,30
8467,young,30
12813,cancer,30
12886,various,30
13399,simply,30
13348,negative,30
9647,selfcontrol,30
10440,action,30
13768,chess,30
3738,famous,30
7657,overall,30
3712,24,30
13537,vs,30
1456,prefer,30
5978,limited,30
1325,evaluations,30
7501,tell,30
468,message,30
7795,medical,30
8710,fail,30
5265,comparison,30
12049,ceo,29
6776,subject,29
7331,lead,29
10224,ask,29
9815,memories,29
12970,concept,29
9619,everyone,29
9168,anything,29
6728,effortful,29
2714,ago,29
7616,likelihood,29
6268,firms,29
10662,bernoulli’s,29
13331,averse,29
1810,source,29
8323,increased,29
12089,seconds,29
8934,feeling,29
178,doubt,29
7403,broad,29
3587,introduced,29
6895,majority,29
9765,influenced,29
5804,order,29
4964,improvement,29
667,findings,29
688,personal,29
699,expectation,29
2781,related,29
8900,john,28
130,trust,28
11348,shared,28
10942,aware,28
3009,slightly,28
4079,0,28
7062,buying,28
4854,operation,28
8495,fear,28
13737,representation,28
1598,complete,28
517,“how,28
507,share,28
7274,turned,28
11511,circumstances,28
7367,g,28
13875,proposed,28
6993,parents,28
2496,sunstein,28
12793,h,28
4561,activities,28
11242,obviously,28
13697,works,28
12522,report,28
987,conditions,28
10024,support,28
8282,impact,28
5541,place,28
4535,exposed,28
13895,biased,28
1849,systematic,28
621,selling,28
9316,adjustment,28
9364,name,28
10043,investors,28
7455,enough,28
7887,chances,28
1461,improve,28
14177,prior,28
1503,apply,28
10801,measured,28
2884,k,28
7408,domain,28
11756,conscious,28
12015,digits,27
12809,range,27
3633,weighted,27
9251,60,27
1146,favor,27
11563,close,27
13309,readily,27
2425,hours,27
2686,provided,27
5730,jack,27
3437,hindsight,27
3057,produced,27
12002,urn,27
9371,game,27
2977,constructed,27
9938,2000,27
9891,condition,27
3167,compared,27
13207,leads,27
8778,care,27
6466,formula,27
10754,reality,27
9211,2009,27
5929,remarkable,26
4790,objective,26
10323,puzzle,26
12219,room,26
12698,moral,26
6350,willingness,26
13129,training,26
5682,dollar,26
2066,field,26
3386,management,26
7895,tickets,26
2796,education,26
12296,participant,26
4387,teller,26
9500,2006,26
10849,goal,26
13692,clinical,26
7568,klein,26
6695,wysiati,26
12548,evaluated,26
10120,determine,26
10254,thomas,26
1179,since,26
9860,features,26
11086,fluency,26
12367,association,26
11884,nature,26
3206,occurs,26
8943,slow,26
11785,schwarz,25
11127,16,25
9308,relatively,25
11769,ignored,25
618,lines,25
8298,n,25
6170,play,25
13612,confirmed,25
56,draw,25
2137,chapter,25
9912,teams,25
5047,gpa,25
7316,entirely,25
4634,multiple,25
1197,logical,25
3902,members,25
5310,mere,25
7204,pupil,25
2989,instead,25
12495,forecasting,25
305,overconfidence,25
11347,predicted,25
8910,responses,25
1986,reject,25
11334,start,25
9079,conflict,25
2679,global,25
9763,intended,25
13285,baseline,25
4065,perfect,25
12361,princeton,25
3193,published,25
4327,twice,25
5537,failed,25
1901,men,25
5583,done,25
10169,assigned,25
5317,matters,24
10896,explained,24
14149,attitudes,24
7444,occur,24
1740,activity,24
2169,woman,24
4862,president,24
8715,topic,24
6548,investment,24
11972,worth,24
6858,valid,24
11931,suppose,24
9104,explains,24
4931,quantity,24
4831,2007,24
9914,default,24
7335,sampling,24
4701,21,24
13849,frames,24
319,stronger,24
13186,asking,24
5019,series,24
10233,expertise,24
8895,blue,24
2266,went,24
10943,david,24
7189,equivalent,24
1631,formulation,24
10172,economist,24
7138,lucky,24
1133,intelligent,24
8694,painful,24
1607,80,24
1936,scores,24
10778,love,24
3293,instructed,24
5169,felt,24
14243,evoke,24
4265,cab,24
4298,evidently,23
2701,offer,23
11584,plan,23
9297,status,23
1171,deliberate,23
10680,act,23
5581,entire,23
1821,certain,23
5898,chose,23
10545,applied,23
8521,sound,23
724,x,23
5342,third,23
1816,countries,23
14186,econs,23
14059,developed,23
8239,substantial,23
1633,brief,23
3323,failing,23
12778,reactions,23
6963,consistent,23
13777,present,23
3458,200,23
3456,ignore,23
13312,focusing,23
8139,coin,23
8147,required,23
8992,got,23
7956,purchase,23
5392,zero,23
12867,rich,23
3482,sentences,23
9389,keep,23
11478,playing,23
13651,conjunction,23
13569,necessarily,23
4140,processes,23
10603,interview,23
10920,back,23
6537,bernoulli,23
11830,combination,23
4445,absence,23
5453,unusual,23
2897,mentioned,23
4381,conversation,23
11917,allowed,23
877,light,23
11134,f,23
2389,agents,23
9827,depends,23
11381,sciences,23
2050,scenarios,23
7261,serious,23
12222,vacation,23
5568,studied,23
6226,argument,23
7517,california,23
6428,projects,22
8167,else,22
6766,longterm,22
2434,program,22
10928,faces,22
1037,tendency,22
13291,2010,22
6102,adding,22
2325,scientists,22
9177,tests,22
12825,typically,22
1346,2001,22
10876,height,22
11338,knows,22
8738,occasions,22
7397,degree,22
14224,intense,22
501,basis,22
11423,“she,22
2471,assessed,22
6829,friend,22
13049,minds,22
5955,extra,22
2537,scenario,22
9940,paid,22
4214,really,22
13807,previous,22
5935,organization,22
13238,wrote,22
9593,index,22
11476,exactly,22
6707,line,22
13024,false,22
13767,makers,22
4009,direction,22
318,drive,22
12820,11,22
13212,detail,22
13826,truth,22
12901,matter,22
11948,implications,22
12894,policies,22
5328,objects,22
177,framed,22
6470,2003,22
12226,similarly,22
6775,uncertain,22
13003,looking,22
7406,picture,22
8297,retrieved,22
12974,separate,22
12476,meehl,22
13148,matching,22
9645,striking,21
2298,demonstration,21
7159,irrelevant,21
4018,anchors,21
11359,regular,21
8971,check,21
12166,vivid,21
5311,follow,21
13869,strongly,21
1629,green,21
14046,receive,21
8528,length,21
7667,independent,21
892,beyond,21
14021,water,21
512,months,21
8963,mostly,21
11463,expectations,21
6635,designed,21
5362,target,21
13210,estimated,21
8479,suggest,21
11234,direct,21
4775,costly,21
5253,norms,21
4863,inevitably,21
4206,affected,21
209,categories,21
13753,2005,21
12626,mistakes,21
8601,18,21
6845,thus,21
7262,strain,21
3052,appeared,21
592,causality,21
1855,impossible,21
3403,illustrates,21
12529,happen,21
13775,near,21
11180,hold,21
6233,exposure,21
5179,per,21
625,seymour,21
6941,offers,21
8712,favorable,21
8794,resources,21
4215,companies,21
16,respond,21
13687,trading,21
11722,term,21
4492,reports,21
12118,mr,21
13242,attempt,21
8170,clearly,21
2140,computer,21
1540,fit,21
12881,michigan,21
8713,claim,21
661,period,21
13503,demand,21
13284,harder,21
7538,worked,20
13487,routine,20
11935,table,20
10387,critical,20
12939,trial,20
13152,candidate,20
1927,grade,20
11952,bets,20
13782,interest,20
14078,appropriate,20
13560,contribution,20
9279,stocks,20
9668,essential,20
10471,procedures,20
3929,background,20
1260,machine,20
6570,gave,20
3660,interesting,20
3862,proportion,20
11635,moments,20
12915,skills,20
4015,invariance,20
11673,punishment,20
10399,college,20
5993,apparently,20
13660,assign,20
8154,added,20
9604,13,20
2277,potential,20
6677,probable,20
1039,narrow,20
11343,cognition,20
5524,competition,20
827,effective,20
13925,depend,20
8643,leading,20
10013,alan,20
671,develop,20
2661,typical,20
5542,living,20
2285,guided,20
3508,advice,20
3104,ratio,20
2046,friends,20
1783,judge,20
8286,eight,20
12547,stereotypes,20
4275,five,20
10986,improved,20
8843,similarity,19
958,attitude,19
11539,seriously,19
9227,let,19
6311,computation,19
6879,chicago,19
4953,14,19
8280,operations,19
11697,ever,19
13990,discovered,19
12442,discussion,19
2974,cover,19
11281,2002,19
9056,characteristics,19
4646,issues,19
6598,product,19
8647,infer,19
13961,month,19
5048,stated,19
6580,enjoy,19
168,followed,19
5625,engaged,19
3604,pictures,19
7448,seven,19
4441,17,19
5840,reduces,19
8226,accepted,19
8598,according,19
1864,recently,19
8717,require,19
6047,white,19
8229,1979,19
4555,examine,19
1961,legal,19
3589,weak,19
7817,contexts,19
10200,believed,19
2569,adopted,19
12457,starting,19
9555,don’t,19
13052,die,19
4123,reduced,19
2630,received,19
727,moderate,19
5171,energy,19
12953,put,19
2780,merely,19
8758,driving,19
2921,office,19
3172,letter,19
10858,authors,19
8389,sensitivity,19
12651,candidates,19
1112,reversals,19
12999,unless,19
1972,readers,19
14049,correctly,19
11392,superior,19
8001,gift,19
8965,norm,19
11013,observation,19
12263,pair,19
11099,algorithms,19
8477,seemed,19
5673,fields,19
13658,fast,19
13934,gilbert,19
951,professionals,19
12952,media,19
13508,house,19
5793,observe,19
13939,versions,19
137,german,19
7014,began,19
11893,interviews,18
2061,physicians,18
9858,issue,18
3756,susceptible,18
4413,carried,18
7695,body,18
7661,meaning,18
9147,considerable,18
1399,george,18
12517,marriage,18
3877,return,18
1853,anticipate,18
9529,sufficiently,18
6842,achieve,18
10681,eyes,18
1841,confident,18
2545,shape,18
10033,allow,18
11711,scientific,18
4352,currently,18
10167,expressed,18
10346,overconfident,18
7787,focused,18
972,challenge,18
7800,reduction,18
6341,mode,18
8368,takes,18
12750,quo,18
7809,count,18
6267,stay,18
14202,rarely,18
7506,“he,18
13911,ratings,18
4793,across,18
11651,distinction,18
12527,schools,18
3847,principles,18
1359,representative,18
8454,consequence,18
4371,heart,18
6736,goods,18
13249,taken,18
6729,stop,18
7912,man,18
5043,answered,18
9381,reward,18
2409,contribute,18
10113,unfortunately,18
9675,norbert,18
4095,compare,18
2481,reflect,18
3925,invited,18
12454,appreciate,18
9491,letters,18
2070,meeting,18
10140,overweighting,18
11263,live,18
6067,1980,18
12119,essay,18
2759,predicting,18
6057,contributions,18
9296,saving,18
6608,2011,18
10000,anyone,18
11284,nisbett,18
12181,instance,18
8746,reliance,18
4084,significantly,18
10901,chosen,18
10823,exchange,18
7888,whenever,18
4867,credit,18
7148,predictable,18
13357,assumption,17
741,suggested,17
7972,names,17
2218,blindness,17
10585,elementary,17
2798,organizations,17
13529,key,17
297,survival,17
4683,statements,17
3533,selves,17
1404,threat,17
6606,sum,17
5005,ended,17
2596,illustrate,17
4185,frequent,17
2079,buyers,17
14043,opinions,17
1587,gary,17
9921,solve,17
3102,construct,17
3995,professor,17
246,closely,17
2904,mortality,17
5889,specified,17
8055,retrieve,17
1441,baserate,17
9935,temperature,17
4066,fourfold,17
8644,activation,17
4613,descriptions,17
1384,save,17
5827,led,17
10107,extremely,17
8940,memorable,17
4264,head,17
5806,judges,17
1694,“they,17
9777,frequently,17
2948,contains,17
7492,evaluating,17
12466,tall,17
6590,government,17
11557,advantage,17
7845,rejected,17
3108,extent,17
5422,“we,17
6694,lesson,17
2156,write,17
12033,knetsch,17
3220,75,17
4903,writing,17
5252,safety,17
5837,wine,17
6044,today,17
7450,evoked,17
9061,box,17
2373,run,17
7878,though,17
2702,ceos,17
12518,becomes,17
4609,consumer,17
2960,aspect,17
7311,goes,17
9776,match,17
8645,produces,17
13075,unfair,17
7780,bought,17
2410,fairness,17
1213,dolphins,17
5444,daily,17
10259,identified,17
13750,fully,17
1235,scholars,17
12145,directly,17
3571,budget,16
10698,bottom,16
2138,diminishing,16
8969,impressive,16
2352,nobel,16
10187,mug,16
3507,taught,16
2672,blame,16
2348,page,16
11011,held,16
11699,expensive,16
10488,“when,16
2024,reasons,16
10490,finally,16
11768,mathematical,16
10193,naturally,16
11546,jump,16
7985,bulletin,16
7976,images,16
9315,questionnaire,16
8314,indicate,16
2749,hear,16
8636,precise,16
8688,missing,16
9772,discussed,16
10408,illustrated,16
10424,processing,16
9879,generates,16
1959,free,16
11564,category,16
9789,seems,16
9405,sellers,16
8671,books,16
3626,sophisticated,16
9793,precisely,16
1324,pressure,16
14087,stereotype,16
4643,disaster,16
4232,argued,16
13370,object,16
12396,whatever,16
5612,accidents,16
12696,maintain,16
13877,society,16
220,officer,16
6327,job,16
6339,mark,16
6342,straightforward,16
690,faith,16
7209,yield,16
4429,reluctance,16
12984,popular,16
13918,40,16
4373,messages,16
5239,fewer,16
6893,arguments,16
12830,bottle,16
12806,perform,16
12541,10000,16
5246,basketball,16
12748,record,16
5059,home,16
5671,skilled,16
12562,involves,16
5251,ten,16
3754,unpleasant,16
311,incidence,16
398,diener,16
290,bayesian,16
385,aspects,16
943,retrieval,16
13549,feedback,16
7135,toss,15
7067,player,15
4356,plans,15
12659,allais,15
12955,front,15
2228,family,15
3874,episodes,15
7457,academic,15
4253,adopt,15
8058,obtained,15
5438,individual’s,15
11622,voice,15
8624,accident,15
4401,apparent,15
7693,classic,15
13045,familiarity,15
10817,trying,15
2603,adaptation,15
4442,seem,15
946,statisticians,15
9786,initially,15
12496,eliminate,15
2443,encounter,15
2611,absurd,15
2583,decide,15
3948,treated,15
13659,lichtenstein,15
2678,grades,15
863,richer,15
4977,observers,15
1190,variables,15
3266,lottery,15
127,stranger,15
10076,debate,15
4980,depletion,15
7079,feminist,15
1219,soup,15
12802,alternatives,15
6651,detect,15
6628,consistency,15
11581,dangerous,15
10941,entrepreneurs,15
8538,×,15
13104,damage,15
691,applies,15
8684,quarterly,15
5924,food,15
1212,worry,15
12258,robert,15
6171,surprisingly,15
2758,particularly,15
10109,perspective,15
4877,generate,15
3799,truly,15
12402,flow,15
6122,shortterm,15
11772,central,15
7586,careful,15
8970,medicine,15
14067,national,15
3328,music,15
3761,salient,15
9004,matches,15
5290,theoretical,15
5659,collected,15
13483,customers,15
9048,detected,15
13466,perception,15
4120,leisure,15
14002,returns,15
3095,yet,15
634,treatment,15
4000,encountered,15
12637,anticipated,15
68,appeal,15
9128,concluded,15
4238,repeat,15
4087,numerous,15
13769,driver,15
5262,sign,15
13770,favors,15
1899,units,15
7161,leader,15
5286,differ,15
7994,exercise,15
10672,built,15
623,acceptable,15
6253,repeated,15
9591,“on,15
1048,committees,15
13280,note,15
13298,threats,15
4203,wheel,14
11245,tetlock,14
11137,obtain,14
11155,interests,14
5270,respect,14
12356,google,14
14090,ii,14
3481,2004,14
9924,noticed,14
11298,written,14
14060,recognized,14
4132,sources,14
12448,calls,14
1036,represents,14
5363,air,14
8192,opportunities,14
3419,kind,14
6923,include,14
123,competence,14
2446,sensitive,14
6875,betty,14
9962,explanations,14
689,agent,14
11101,mild,14
12591,regardless,14
6284,compensation,14
3061,trials,14
591,attached,14
237,foundation,14
13307,surprises,14
9435,label,14
4884,abstract,14
4571,players,14
8927,exaggerated,14
10517,century,14
5636,saying,14
2992,counties,14
8973,par,14
13410,additional,14
10452,hospital,14
474,acquired,14
10428,“do,14
10160,trouble,14
13499,amounts,14
2905,subsequent,14
10307,reliability,14
5888,95,14
5775,35,14
13664,percentage,14
355,odean,14
10714,unlike,14
5546,soul,14
5543,jon,14
1865,1982,14
6818,physician,14
1798,stanovich,14
11091,fairly,14
8383,area,14
5382,none,14
12682,tomorrow,14
890,relation,14
6723,teaching,14
3290,influences,14
4283,receiving,14
12781,otherwise,14
10001,notice,14
10745,remarkably,14
12798,titled,14
4967,differently,14
1891,blind,14
12855,michael,14
8040,benefit,14
9551,everyday,14
10037,contrary,14
10042,goals,14
13053,vary,14
6386,color,14
6363,restaurant,14
1124,generated,14
2275,insufficient,14
3825,arise,14
11956,traders,14
2491,link,14
1391,meet,14
8000,decades,14
3701,safe,14
12182,characters,14
3990,morning,14
3662,valuable,14
7264,completed,14
2520,transactions,14
9901,plaintiff,14
12142,trade,14
12137,largely,14
11518,raise,14
7864,factor,14
5245,overweighted,14
1214,experimenter,14
7935,addition,14
7343,functions,14
4034,fictitious,14
7400,film,14
5111,inside,14
9885,revealed,13
10581,indifference,13
13876,stakes,13
10659,protection,13
5110,greatly,13
2023,played,13
5216,programs,13
1774,contributes,13
1775,follows,13
11676,concepts,13
13204,overestimate,13
13180,seeing,13
12576,listed,13
5231,“you,13
9907,talent,13
10753,traits,13
12581,weather,13
6349,phenomenon,13
4471,dominance,13
10078,ones,13
13246,whole,13
9454,evokes,13
1182,theme,13
3908,84,13
3818,judging,13
11226,feet,13
8881,odd,13
4567,add3,13
3039,peak,13
3408,smile,13
8228,gilovich,13
9625,monetary,13
13294,siati,13
4896,agree,13
10605,ball,13
4552,cambridge,13
6891,affective,13
8845,former,13
4172,successive,13
12539,rest,13
7516,realize,13
605,cue,13
5369,lazy,13
3849,abnormal,13
6800,narrative,13
10997,altogether,13
9552,negotiations,13
3213,invest,13
12661,herbert,13
8587,represent,13
11590,remains,13
1903,overcome,13
50,conventional,13
12827,fritz,13
5406,protect,13
11815,commonly,13
876,overly,13
12732,saved,13
3596,responsibility,13
1253,observer,13
2687,primed,13
7894,wy,13
3265,attempts,13
2684,disposition,13
5452,describes,13
7445,type,13
8669,reach,13
3579,areas,13
9600,surgery,13
3159,force,13
7819,knowing,13
13062,worst,13
7493,conduct,13
12017,executives,13
6423,borgida,13
9295,visual,13
4414,implies,13
11520,teacher,13
12031,californians,13
6782,illusory,13
9535,witness,13
9812,injections,13
11060,quantities,13
6778,efforts,13
4055,giving,13
