,word,count
1941,metaphor”,1
10837,hausman,1
1942,frustration,1
10834,singing,1
10833,acquisition”,1
1943,forbidden,1
1945,rage,1
10828,flashes,1
1946,unpublished,1
10857,stamina—how,1
1932,properly—,1
1930,—from,1
10860,seasoned,1
1915,springs,1
10885,aheavier,1
1916,productively,1
1918,“market,1
10882,“tattoo,1
10881,statements”,1
10879,interesting”,1
1921,inpavlov’s,1
1922,bmaknseflected,1
1923,trespassing,1
10874,way—selecting,1
10873,effect—makes,1
10872,pianissimo,1
10871,iew,1
10870,farber,1
10869,hook,1
1925,longrun,1
1928,antinuclear,1
10864,magnet,1
10863,width“0”the,1
10862,prognosis,1
1948,accurate—but,1
10821,committee—and,1
10820,waned,1
10785,ality,1
10783,scratch,1
1967,attorney,1
10781,1–r,1
10780,25–38,1
1968,simplifies,1
10777,tirana,1
10776,paradoxes,1
1970,noticeable,1
10773,marten,1
1971,shiffman,1
10771,dismal,1
1976,informationpoor,1
10766,truthful,1
1979,infinitely,1
10761,fat”,1
1982,incurred,1
10759,egypt,1
10758,revenue”,1
10757,“strained”,1
1985,gene”,1
1987,diagnostician,1
10784,competitiowhired,1
10786,twentyoneyearold,1
10818,dear,1
10788,complacency,1
1950,prospect”,1
10816,loving,1
1951,army’s,1
1952,temperamentally,1
10811,medicine”,1
10808,truck,1
1953,conservatives,1
1955,prohibit,1
1956,wahene,1
10803,submissive,1
1958,stain,1
1960,1776–80,1
10799,dianne,1
10798,hav,1
1965,culturally,1
10796,inferences”,1
10795,hayward,1
10794,shah,1
10793,shoda,1
1966,converted,1
10789,underperformance,1
2055,macmillan,1
2056,boy—that,1
10621,—showed,1
10430,undergradut,1
10442,“white,1
2158,yamagishi,1
2159,5–38,1
10439,nun,1
10438,inefficient,1
10437,jogging,1
2161,touches,1
10433,“highway,1
10432,post“lly,1
10431,”these,1
2163,breaks—morning,1
2057,ht“5”,1
2164,i’m,1
10427,assistant’s,1
10425,pupillary,1
2168,dependency,1
10422,stereo,1
2170,undetected,1
10419,getyou,1
10418,fairy,1
10417,mythologizing,1
2172,293315,1
10443,labeling,1
10444,common—though,1
10445,avoidable,1
10446,tease,1
2139,“florida,1
2141,controllers,1
10469,maimed,1
10466,selfserving,1
2143,61–92,1
2144,infrared,1
10463,“intolerable,1
2145,“low,1
10460,scrambled,1
10459,alcock,1
2151,decision—and,1
10456,setbacks,1
2153,invincibility,1
10454,234,1
2155,senses,1
2157,treadmill,1
10451,torn,1
10450,onjudgments,1
10449,erences,1
10448,deficiency,1
10447,doubters,1
10414,commitments,1
10413,youhave,1
2173,inmoo,1
10378,connotes,1
2187,unlimited,1
10373,bmuo,1
10372,colored,1
10371,curtis,1
10370,winner”,1
2189,isebr,1
10368,monsell,1
2190,ro,1
2193,gyre,1
10365,difficultproblems,1
10363,conwhetion,1
10362,allimportant,1
2196,clans,1
10359,paranoia,1
10358,wellmanaged,1
10357,ofintuitive,1
10355,gorgeous,1
10354,acquaintances—yet,1
2200,intelligently,1
10351,patterns”,1
10348,feather,1
10377,losers—a,1
10379,meanness,1
10409,999999,1
2186,intervening,1
10407,ass12velyociation,1
2177,jim”,1
10404,tired”,1
10403,000,1
10402,293–315,1
10401,“highresolution,1
2178,skid,1
2180,shatter,1
2181,71–81,1
10394,automaticity,1
10393,shops,1
2182,annette,1
10391,atic,1
10390,equilibrium,1
10389,adlike,1
10388,buried,1
10386,parents’,1
10385,n’t,1
2185,rare—as,1
10383,collapses,1
10381,customary,1
10472,“adaptive,1
2136,moralpurity,1
10475,earliest,1
10586,dimitrov,1
2078,paradigmatic,1
2081,fared,1
10580,flow”,1
10578,allocates,1
10577,sincere,1
2083,equations,1
10574,nonemotional,1
2084,observed—is,1
2085,brave,1
10570,alternative—one,1
10569,338–39,1
10567,remem,1
10566,personality”,1
10565,gunshot,1
10564,teenagers’,1
10563,eightyfifth,1
2087,btu,1
10561,throws,1
10557,success”,1
2089,and…”,1
10554,strolls,1
2076,1950,1
10587,fingernails,1
10552,1—has,1
10588,enmity,1
10619,351,1
10616,rigged—,1
10615,“x,1
10614,constructive,1
10613,repeal,1
10612,sweaty,1
2060,bono,1
2062,platoon,1
10609,infinity,1
10608,havebeen,1
10606,zajonc’s,1
10604,663–66,1
2068,lucidly,1
10602,pursuer,1
10600,morris,1
10599,“neuroindices,1
10596,favorableness,1
10595,download,1
10594,frpeaрrainom,1
10592,envision,1
2075,bombshell,1
10553,another’s,1
2093,mohammed,1
10477,achievement”,1
10505,lovers’,1
2117,wimps,1
10502,“washing,1
10501,elisaveta,1
10500,168,1
2118,fertilization,1
2119,preparations,1
10497,tumors,1
10496,tasted,1
2120,framing”,1
10494,414–23,1
10493,aistsky,1
10491,“knowing,1
10489,503–18,1
2127,84–97,1
10487,minefields,1
10484,costing,1
2131,cites,1
2132,herrmann,1
10480,mover,1
2134,curb,1
10478,mihalycurriculum,1
10504,“dutch,1
10506,simulated,1
10547,rays,1
10507,39–63,1
2097,simplerule,1
10544,pulse—in,1
10542,screening,1
10540,borrower,1
2099,pleasantly,1
10534,mind—which,1
10532,something—he,1
10531,streets—especially,1
10529,movements”,1
10528,impossible—a,1
10524,solely,1
10523,kip,1
2104,lawn,1
2108,devoting,1
2110,revolted,1
2111,indebted,1
10516,presidential,1
2113,trips,1
10513,gggggg,1
10510,329–37,1
10509,bookstores,1
10887,dim,1
1913,thrill,1
11432,grgrrr,1
1728,sly,1
1716,misdirection,1
1717,“80,1
1718,rgrrr,1
11241,“pay,1
11240,posner,1
11239,babiak,1
1725,goldberg,1
1726,deadloss,1
1727,destructive,1
11232,“heinous,1
1730,reframing,1
11285,soundly,1
11227,misaligned,1
11225,“economic,1
1734,273–79,1
11223,depleting,1
11222,wanes,1
11221,evaluation—even,1
11220,bimp,1
11219,churning,1
1735,“rational”individuals,1
11217,he’s,1
11247,collaborative,1
11248,ahigher,1
11249,strains,1
1713,complaint,1
1696,seventeenth,1
1697,hapless,1
11280,enjoys,1
11279,replicability,1
11278,doubting,1
1698,overconfidence”,1
1701,–850,1
11273,photographer,1
11268,traderphilosopherstatistician,1
1702,audit,1
1703,puttingfor,1
11264,knew—or,1
1706,evenly,1
11261,index”,1
1707,prize—,1
1709,loves,1
11257,kevin,1
11255,5432,1
11254,1801–1887,1
11253,skill”,1
1712,beneath,1
1738,invents,1
1739,17–,1
11213,migratory,1
11177,inspections,1
11175,mystic,1
11174,“unexplained,1
1758,minister,1
11172,violently,1
1760,1–33,1
11169,218–19,1
11168,“words”,1
1761,chord,1
11166,measurable,1
11165,mowrer,1
11164,growers,1
11163,lowcontribution,1
11162,exude,1
11160,1892,1
11159,“new”,1
1766,neale,1
1768,“elderly,1
11154,earthscan,1
11153,pindex,1
11152,enlivened,1
11151,shoulders,1
11176,collaborator”,1
11178,“physiological,1
11212,roese,1
11179,anna,1
11210,rocks—,1
11209,230–44,1
11206,kabeto,1
11205,selfsatisfaction,1
1744,1877,1
11203,contemptuously,1
1745,hurdles,1
11200,nonmonetary,1
11199,crossword,1
1746,statisticis,1
11197,aed,1
11196,“negativity,1
11195,decisionscience,1
11193,victim”,1
11190,promoters,1
1748,antagonism”,1
11186,episodic,1
11185,logarithm,1
11183,beth’s,1
1751,n0001473c0438,1
1753,unimportant,1
1695,“lawyers,1
11286,passage,1
10891,dynamism,1
11375,actory,1
11389,selfemployment,1
11388,animate,1
11387,pool,1
11385,escalate,1
11384,devaul,1
11383,paralysis,1
1625,“narrow,1
11379,181–85,1
1628,th5“4ncesinking,1
1630,redirect,1
11374,database,1
11287,uot,1
11373,fragment,1
1634,negate,1
11369,preoccupied,1
11368,reactions”,1
11367,bomber,1
11365,curricular,1
11364,embed,1
1638,arelikely,1
1639,discriminates,1
1640,outcomes—a,1
1623,carmyllie,1
1620,“misremembering,1
11394,unfold,1
1619,120,1
11429,111–32,1
11427,estimaight“0”,1
11425,misses,1
11424,transferred,1
11422,endorsement,1
11421,qup,1
1603,grown,1
1604,age—by,1
11418,issues—almost,1
11416,correspondingly,1
1605,piles,1
1612,saidthif,1
11410,us—including,1
11408,989–1000,1
11405,establishment,1
11404,pairs—an,1
11403,contraction,1
11400,fares,1
11398,fearlessness,1
1617,rafters,1
1618,refrigeration,1
1641,sociology,1
11358,forest,1
1643,stocking,1
1676,467–515,1
11317,eventrelated,1
11316,sermon,1
11315,secondguess,1
11314,agreeable,1
11313,richness,1
11312,loweffort,1
1677,lining,1
11310,history—mostly,1
11309,counterexample,1
11308,wänke,1
11306,solicitations,1
11304,hand—,1
11303,presumptive,1
11300,martino,1
1685,attributional,1
11296,jumped,1
1687,2500,1
1689,inexpensive,1
11292,clearer,1
11291,pension,1
1690,riskadjusted,1
11319,ning,1
1674,famifecklessness,1
11352,politely,1
1672,optiotal,1
1645,refocus,1
11350,stwo,1
1648,tende,1
1650,leaned,1
1654,hedonimet,1
11345,sponsor,1
11344,tornadoes,1
1655,metropolitan,1
11340,neurology,1
1659,byals,1
1660,englich,1
11336,“use,1
11335,cleanup,1
1661,“one,1
11332,vagueness,1
11330,scoffed,1
11328,analgesia,1
11327,buhl,1
11325,persevered,1
1670,stray,1
1671,singleys,1
1769,accent,1
1770,“frivolous”,1
11147,“losses,1
10973,verse,1
1861,binepitze“4”,1
10985,“valuedestroying,1
1862,glucosedepletion,1
10981,burns,1
10980,relaxes,1
1866,farrar,1
10978,commercially,1
10977,find…”,1
10976,joyrides,1
10974,theinformation,1
1869,uniqueness,1
11146,adores,1
10971,sustains,1
1870,wander,1
10967,yours”,1
10966,estate,1
10965,desirable—they,1
10962,bending,1
10960,bomb,1
10958,minimizing,1
10957,demimonde,1
1875,university911,1
1856,stylized,1
1852,fantasy,1
10990,sticking,1
10993,andball,1
11019,engagements”,1
11018,it—unless,1
11017,“lags,1
1835,approval,1
11015,stirring,1
11014,cce,1
1836,irregular,1
11012,olk”,1
1837,advocate,1
1838,5–15,1
1843,—noted,1
11008,bodiless,1
1844,unknowingly,1
11006,unequivocal,1
1845,carpenter,1
11003,buffs,1
11001,“act,1
1846,provocation,1
10998,categorized,1
10995,resembled,1
10994,soft,1
1878,governance,1
10952,account—but,1
10951,interventions,1
1900,bundle,1
10915,ventures”,1
10914,drag,1
10913,truefalse,1
1902,“recognize”,1
10911,person—including,1
10910,stock—the,1
1904,mobilization,1
10907,partwhole,1
10905,calendar,1
10904,stereotypes—we,1
10903,minn,1
1905,theirown,1
1906,famed,1
1907,litigate,1
1908,adolphs,1
10898,“accountability,1
1909,springer,1
1911,conditioned,1
10895,john”,1
10893,preservatives”,1
10892,clumsily,1
10916,butexperience,1
10919,accomplish,1
1879,stefan,1
1897,default”,1
10949,precocity,1
10947,travels,1
1881,whichoften,1
10945,insidethaa,1
1882,work”,1
1883,5621020,1
1884,superfast,1
10940,messy,1
10937,intensify,1
10936,users,1
10935,inflated,1
10934,hillary,1
1887,replication,1
10932,raving,1
10931,strn,1
10929,steals,1
1890,autom,1
10925,organiz,1
1893,attractivego,1
10923,inertial,1
1896,qbath,1
11020,173–200,1
1834,accurate—the,1
11022,hardwired,1
11115,locates,1
11112,predicok,1
11111,probability—and,1
11110,usfear,1
11109,worth”,1
11106,regulate,1
11105,intensityallows,1
1788,titman,1
1790,tickers,1
11102,losing—and,1
11100,ou,1
1792,encompassed,1
11098,deplete,1
11097,“wantability”—and,1
1796,opinionated,1
11095,1161–66,1
1803,sabotaged,1
11090,jessica,1
11088,—the,1
11087,dissonance,1
1806,unaccountable,1
1807,posed,1
11113,firefly,1
11116,sinful,1
11083,“social,1
1786,lowperforming,1
11144,predilection,1
11141,gateway,1
11140,skimmed,1
11139,bars,1
1773,89–104,1
1776,antemortem,1
1777,supplies,1
1778,lookup,1
11133,5°c,1
11131,1—,1
11130,riche,1
11129,thypical,1
11128,cl,1
1781,preblizzard,1
11126,refrigerators,1
11124,shook,1
11123,lot”,1
11122,chasing,1
1782,paula,1
11119,mahtcipde,1
11118,tradeoffs,1
11084,werecte,1
1809,viewpoints,1
1831,integrates,1
11053,prentice,1
11051,25–42,1
11048,paraplegic’s,1
1825,toes,1
11045,disconcerting,1
11043,concerns”,1
11042,speculative,1
11041,adulthood”,1
11039,animal’s,1
11037,1775–98,1
1827,gambles”,1
11035,deception”,1
11033,comprehend,1
11032,overriding,1
11031,falls,1
1828,sweetened,1
11029,athletes’,1
11028,fines,1
1830,sympathies,1
11026,washedout,1
11025,tires,1
11024,thigh,1
11052,9th,1
11054,informationprocessing,1
11081,oxforduniversity,1
11055,tive,1
11080,rationaladdiction”,1
11079,9–30,1
11078,drafted,1
11076,goldstein,1
1811,sareeva,1
11074,tally,1
1814,completeness,1
11071,psychological—but,1
1817,selfconfident,1
11069,both…without,1
11068,stumble,1
1436,workforce,1
11066,390–97,1
11065,oxygen,1
11063,“were,1
11062,ti,1
11061,“lie”,1
1819,elective,1
1820,whatif,1
11057,deathbed,1
11056,“unload”,1
11067,desperate”,1
12289,golfers’,1
1435,specifications,1
486,withstand,1
470,valerie,1
13453,brokenleg,1
471,“demystifying,1
472,271–80,1
476,nowunderstand,1
477,thanrealitybound,1
478,deteriorated,1
13446,terrorists,1
480,width“5”the,1
481,resilient,1
482,fineart,1
13441,abroad,1
13439,projects”,1
13422,caleigl,1
13438,artifice,1
488,increa,1
13435,omitted,1
489,employee’s,1
13433,basketballs,1
490,stresses,1
13431,selfconfidence,1
13430,“dangerous,1
13429,workers’,1
13428,betterthanaverage,1
492,indulge,1
13426,counterfactuals”,1
469,illusion—we,1
13456,somber,1
13457,‘irrelevant’,1
13459,parent’s,1
13492,congressman,1
455,wass,1
458,funnellike,1
13489,faceoff,1
13488,wasteful,1
13485,odes,1
13484,prophecies,1
463,ban0”,1
13479,captured,1
464,staring,1
13477,outweigh,1
13476,children”,1
13475,dunkelberg,1
13474,catherine,1
465,unique”,1
13472,visits,1
13471,queue,1
13469,umbrella,1
13468,illustrating,1
466,disc,1
13464,guard,1
467,tvprone,1
13462,toaster,1
13461,716–,1
13460,contrasts,1
13424,recipe,1
13421,2—is,1
13494,chimp,1
13360,17–21,1
520,fourteen,1
13376,prosecutor,1
13375,martyrs”—good,1
13374,unidimensional,1
13373,incomprehensible,1
523,fertile,1
13369,129–33,1
525,unobtrusively,1
526,easygoing,1
13365,diars,1
531,effect—rare,1
533,416–21,1
534,amartya,1
497,loomes,1
535,waterfowl,1
536,allure,1
13356,buys,1
13353,910–24,1
13352,errorprone,1
538,“orm,1
13349,brokendishes,1
542,objectivity,1
546,freeing,1
13346,missions,1
547,stabbing,1
13341,ramp,1
13379,bullet,1
13380,traderthomas,1
13381,crawling,1
13382,incremented,1
13419,saucers,1
13418,934–60,1
13416,shielding,1
13414,591–600,1
13412,modelbased,1
13411,rebekah,1
13409,simultaneous,1
503,pseudoexperts,1
13407,1623–26,1
504,framers,1
506,“exposition,1
13403,correlates,1
13402,story—we,1
13401,773–806,1
508,is—a,1
13397,demolish,1
13396,misread,1
13395,organization’s,1
13394,universality,1
514,collects,1
516,selfreports,1
13389,component,1
13387,kadirga,1
13385,1976”,1
519,“bystander,1
454,champion,1
13495,liberalse,1
13648,propensities,1
13592,terrain,1
13606,numerator—the,1
392,delaying,1
13603,183,1
13602,“taken,1
13600,narrowing,1
395,disclosed,1
13598,“corny,1
13597,“dirty,1
399,blew,1
13595,287–302,1
13594,langa,1
13593,grows,1
13591,scatter,1
13576,justin,1
13590,authors’,1
13589,entdetailed,1
13588,“make,1
13586,mitigation,1
13585,belknap,1
13584,desultory,1
13583,740–53,1
13582,853–81,1
13581,nonexistent,1
400,venue,1
13579,integrated,1
13578,tempered,1
389,sexes,1
13608,462–66,1
388,muttered,1
13610,lawy,1
13644,objecting,1
13643,right—but,1
370,challenged—it,1
13641,overcame,1
13640,ashes,1
13639,meets,1
13638,prediction—,1
371,“mortality,1
373,work—when,1
376,sustaining,1
378,cont,1
13632,centered,1
381,430–54,1
13628,ohypothesiin,1
13626,lagging,1
13625,1–21,1
13623,“anchoring,1
13621,rogress,1
13620,frenchmen,1
13619,sofa,1
384,nation”,1
13614,riding,1
13613,newlyweds,1
387,ctha211850overn,1
13611,civilized,1
13577,thunberg,1
13575,“structured,1
13496,occupatiohein,1
13514,unreflective,1
13531,spring,1
426,values”,1
428,eraker,1
13527,173–83,1
430,bs,1
433,85–98,1
434,pundit,1
13521,dread,1
13520,unrepresentative—like,1
435,sheds,1
13517,algebra,1
13516,barring,1
13513,underlie,1
401,frenchman,1
13512,currency”,1
13511,choult,1
13510,unremarkable,1
442,collaborating,1
443,irving,1
13505,emitted,1
446,instability,1
13502,preinternet,1
13501,“ecological,1
13500,tetlock’s,1
452,viewer,1
13497,responsive,1
13532,watching”,1
13534,day”,1
418,easy”,1
13539,claims”,1
13571,neil,1
13570,batteries,1
402,salaried,1
13568,olson,1
407,debated,1
13565,bearing,1
13564,894–906,1
13562,richardson,1
408,bluish,1
409,hypotheti,1
13559,viscusi,1
13557,threshold,1
13555,“outcome,1
413,rationality”,1
13552,“winner”,1
13551,pediatric,1
13550,glands,1
414,726–40,1
13548,150–61,1
415,problem—choosing,1
416,twoyearold,1
13545,personable,1
417,282,1
13541,bimto,1
13540,onthe,1
13340,intercom,1
554,“response,1
555,convicted,1
13137,cthinchsupports,1
13150,celsius,1
13149,side—that,1
13147,stupidity,1
13146,scientist”,1
13145,obligated,1
13144,dealings,1
13143,are…”,1
669,bristle,1
13141,lowell,1
670,olk,1
13139,commerce,1
672,dogmatic,1
13136,endured,1
682,disinfectant,1
675,envious,1
13134,voluble,1
13132,sidering,1
13131,whilealso,1
13130,“large”,1
13128,cm,1
677,lewin,1
678,chair—unless,1
13122,easy—it,1
679,serves,1
13120,doing”,1
680,triggers,1
13151,proclaim,1
666,divisions,1
13153,kennedy,1
13155,30and,1
13188,red”,1
648,freeway,1
13185,dinca,1
13183,mariner,1
651,curtailing,1
13181,adapting,1
652,pedantic,1
653,indicted,1
654,andover,1
13175,1277–84,1
656,foremost,1
13172,thevalue,1
13171,damasio’s,1
658,realm,1
13169,targeting,1
659,schuster,1
13167,stink,1
13166,year—investors,1
13165,‘utility’,1
13164,representativeness”,1
660,julius,1
662,67–84,1
13161,psychology—,1
13159,voted,1
664,speedy,1
681,decide”,1
13115,turnpike,1
556,motorcycles,1
709,cockroaches,1
13078,winkler,1
13077,suited,1
13076,coordination,1
13074,poor—which,1
13073,412–14,1
704,resorts,1
13070,woman—they,1
13069,vintages,1
705,worries,1
706,sinks,1
707,substantiated,1
13065,damaging,1
711,th5motketns,1
13114,“violence,1
13061,extension,1
13060,unfairness,1
712,lenlatweig,1
13058,illnesses,1
713,morning”,1
13056,selfrated,1
13054,plane—they,1
716,scanner,1
717,“norway,1
718,ratesmatter,1
719,achocolate,1
13048,trial”,1
13079,464,1
13080,metcalfe,1
13082,“objective,1
13083,shortfalls,1
683,148–55,1
685,neighbors,1
13110,booklets,1
13109,333,1
686,choices—until,1
13107,vanquished,1
13106,theestimated,1
13105,39–60,1
693,forcefulness,1
695,president…”,1
13101,scarce,1
13100,mikolajczak,1
13099,seidenberg,1
13098,unambiguous,1
13097,appearance”,1
13096,skeptic,1
696,dmers,1
697,berlin’s,1
698,imperceptibly,1
13090,laden,1
13089,nationwide,1
13088,1995–1997,1
13087,gould’s,1
702,“disclosing,1
13084,environmentalists,1
646,28which,1
13191,langer,1
13192,sleeve,1
586,squares,1
577,prescience—but,1
13297,facilitates,1
579,alcohol,1
580,immediacy,1
13292,infact,1
581,balancing,1
13290,conceived,1
13289,ayton,1
13288,executing,1
582,cooccurrences,1
583,attends,1
584,blurry,1
13282,starkly,1
644,well—no,1
13281,undecided,1
589,pink,1
13278,lily,1
13277,peaches”,1
13276,up—say,1
590,josef,1
593,sequel,1
13273,389–404,1
13272,extensively,1
13271,stalls,1
594,storybook,1
595,£50,1
13299,tourism,1
571,barack,1
13303,tantamount,1
13304,dip,1
13333,calamity,1
13332,2—ignorance,1
560,complexities,1
561,guidance,1
13326,rested,1
13325,charities,1
13324,iraq,1
13323,concise,1
13322,blindly,1
13321,lowprobability,1
562,shefrin,1
13319,inverted,1
13318,onemonth,1
13317,mirages,1
13316,considered—hence,1
563,thriving,1
564,there’s,1
565,nonregressive—we,1
13311,out—that,1
13310,youknew,1
566,citizens’,1
568,sheila,1
569,wrinkle,1
13306,grasped,1
570,“perceived,1
596,nilli,1
13267,“somewhere,1
598,todd,1
13230,impossible—they,1
13227,nicknames,1
622,93–120,1
13225,950000,1
13223,did—so,1
13222,kisses,1
624,overrides,1
13219,witty,1
626,00001,1
13217,hates,1
13213,pays,1
632,bosses,1
13211,mayer,1
633,beating,1
13209,gelman,1
13208,mellon,1
638,17–52,1
642,83–115,1
13203,believed—almost,1
13202,typhoid,1
13201,veracity,1
643,“smilers”,1
13199,grandfather,1
13198,outlines,1
13197,clowns,1
13194,pursuits,1
13229,computation—i,1
